Season,Name,Team,Archetype,PC1,PC2,CY_winner,Share
2025,Shota Imanaga,CHC,Power Splitter/Forkballer,3.7417674430669465,-1.4710396416258253,0,0.0
2025,Tomoyuki Sugano,BAL,Power Splitter/Forkballer,7.940750413465578,-2.238871916119814,0,0.0
2024,Lance Lynn,STL,Cutter/East-West Artist,0.1540863695819143,-1.2062293175874026,0,0.0
2024,Charlie Morton,ATL,Cutter/East-West Artist,-0.3219182570426672,-2.5453586879052743,0,0.0
2024,Albert Suarez,BAL,North/South Power Starter,-1.0978745914192125,-1.8868430026543679,0,0.0
2024,Carlos Carrasco,CLE,Fastball/Sinker Hybrid,-0.7244870236723426,-1.1007592295021336,0,0.0
2024,Martin Perez,TOT,Kitchen Sink/Finesse Mix,-1.4255696855268887,-0.8327753420966381,0,0.0
2024,Justin Verlander,HOU,North/South Power Starter,-1.2733619341830351,-2.4681677998449967,0,0.0
2024,Nathan Eovaldi,TEX,Power Splitter/Forkballer,7.299313163222571,-2.4367430390458216,0,0.0
2024,Patrick Corbin,WSN,Kitchen Sink/Finesse Mix,-0.8288085030630842,1.4930013977325922,0,0.0
2024,Miles Mikolas,STL,Fastball/Sinker Hybrid,-0.18947500036626008,1.6066423076064011,0,0.0
2024,Kyle Gibson,STL,Cutter/East-West Artist,0.27539679687981283,-1.0982259596552186,0,0.0
2024,Zack Wheeler,PHI,Power Splitter/Forkballer,7.101701937656551,-2.166703024658251,0,0.62
2024,Chris Sale,ATL,Kitchen Sink/Finesse Mix,-2.055212385303129,1.4038229447797959,1,0.94
2024,Merrill Kelly,ARI,Cutter/East-West Artist,-0.25693289433082894,-1.4234215338208787,0,0.0
2024,Jose Quintana,NYM,Kitchen Sink/Finesse Mix,-1.9762034355798264,-1.1000487286986664,0,0.0
2024,Jameson Taillon,CHC,Cutter/East-West Artist,0.36362463877383633,-1.5740642302674608,0,0.0
2024,James Paxton,TOT,Knuckle Curve Specialist,-1.2581862789887068,4.626675555845222,0,0.0
2024,Taijuan Walker,PHI,Power Splitter/Forkballer,7.114811052831594,-1.8340008804794405,0,0.0
2024,Kyle Hendricks,CHC,Fastball/Sinker Hybrid,-1.9634096513911454,-1.519715135660997,0,0.0
2024,Chris Bassitt,TOR,Cutter/East-West Artist,3.704688619039847,-1.8329538032408181,0,0.0
2024,Colin Rea,MIL,Power Splitter/Forkballer,7.037112952339723,-1.6021438169302284,0,0.0
2024,Seth Lugo,KCR,Cutter/East-West Artist,4.047614752798357,-2.7741186007904557,0,0.44
2024,Nick Martinez,CIN,Cutter/East-West Artist,-0.5269316167349982,-1.526546201286991,0,0.0
2024,Sonny Gray,STL,Cutter/East-West Artist,0.8133859135442125,1.4866067827017837,0,0.0
2024,Tyler Anderson,LAA,Kitchen Sink/Finesse Mix,-2.0132624728430266,-1.0111224161066577,0,0.0
2024,Joe Musgrove,SDP,Cutter/East-West Artist,0.2582395048714062,-2.0642338635758217,0,0.0
2024,Yu Darvish,SDP,Power Splitter/Forkballer,7.220442431700443,1.4786289245948436,0,0.0
2024,Gerrit Cole,NYY,Knuckle Curve Specialist,0.8862419804158165,5.585301453766984,0,0.0
2024,Eduardo Rodriguez,ARI,Kitchen Sink/Finesse Mix,-1.4204784254070868,1.0904363332825282,0,0.0
2024,Ross Stripling,OAK,Knuckle Curve Specialist,0.08633083998957732,4.6830186859716925,0,0.0
2024,Marcus Stroman,NYY,Power Splitter/Forkballer,7.238403123242369,-1.8587773370041794,0,0.0
2024,Blake Snell,SFG,North/South Power Starter,-2.3940300937751253,-1.9712432341164716,0,0.0
2024,Max Fried,ATL,Kitchen Sink/Finesse Mix,-1.3773790404545752,-1.5656274614885393,0,0.0
2024,Zach Eflin,TOT,Cutter/East-West Artist,0.6316571796057132,-1.4099329452510683,0,0.0
2024,Chris Flexen,CHW,Cutter/East-West Artist,0.22663515409077678,-1.6347636146370894,0,0.0
2024,Michael Wacha,KCR,Cutter/East-West Artist,-0.35026048988222863,-1.3983968224061551,0,0.0
2024,Kevin Gausman,TOR,Power Splitter/Forkballer,8.059287378213869,0.10754678757221492,0,0.0
2024,Jose Berrios,TOR,Cutter/East-West Artist,-0.25943509464484626,-1.6361156741207366,0,0.0
2024,Frankie Montas,TOT,Power Splitter/Forkballer,6.838048059684559,0.40351702367472936,0,0.0
2024,Ty Blach,COL,Kitchen Sink/Finesse Mix,-1.2216934440983895,-0.7268030763160462,0,0.0
2024,Tyler Glasnow,LAD,Fastball/Sinker Hybrid,1.5196995972954406,-1.706001094987524,0,0.0
2024,Paul Blackburn,TOT,Cutter/East-West Artist,0.09171444105669471,-1.5696065932555054,0,0.0
2024,Michael Lorenzen,TOT,Cutter/East-West Artist,-0.42083831958946116,-1.4061696411226834,0,0.0
2024,Jon Gray,TEX,North/South Power Starter,-0.958984900017709,-1.2817221704127082,0,0.0
2024,Ben Lively,CLE,Fastball/Sinker Hybrid,-0.5516707474252052,-0.7406434224863162,0,0.0
2024,Andrew Heaney,TEX,Kitchen Sink/Finesse Mix,-1.7070855024180416,-0.6055364614859674,0,0.0
2024,Nick Pivetta,BOS,North/South Power Starter,2.2963258514222677,-2.5598821883071703,0,0.0
2024,Luis Castillo,SEA,Fastball/Sinker Hybrid,-0.6236281725071791,1.1768000552981948,0,0.0
2024,Zack Littell,TBR,Power Splitter/Forkballer,5.6115931015910325,0.7002284650551651,0,0.0
2024,Sean Manaea,NYM,Kitchen Sink/Finesse Mix,-1.1095424738652226,1.4627284269051741,0,0.0
2024,Luis Severino,NYM,Cutter/East-West Artist,0.23226769998903568,1.161178026907561,0,0.0
2024,Carlos Rodon,NYY,North/South Power Starter,-1.1198337852506186,-1.652278513073744,0,0.0
2024,Aaron Nola,PHI,Knuckle Curve Specialist,0.7630661729454982,6.247532353303449,0,0.0
2024,Kyle Freeland,COL,Knuckle Curve Specialist,-1.1854058160079075,4.537916908124814,0,0.0
2024,Reynaldo Lopez,ATL,North/South Power Starter,-1.1013496225637924,-1.6560961045175058,0,0.0
2024,Jordan Montgomery,ARI,Kitchen Sink/Finesse Mix,-2.2538436367425567,-1.3277201050982033,0,0.0
2024,Austin Gomber,COL,Knuckle Curve Specialist,-1.6990742587696104,4.5531498974287254,0,0.0
2024,Trevor Williams,WSN,Fastball/Sinker Hybrid,-0.5702524972346573,1.190482170115909,0,0.0
2024,Pablo Lopez,MIN,Fastball/Sinker Hybrid,-1.1095218790240384,-1.338881307124658,0,0.0
2024,Ranger Suarez,PHI,Kitchen Sink/Finesse Mix,-1.239748790804857,-0.9780488317427353,0,0.0
2024,Framber Valdez,HOU,Kitchen Sink/Finesse Mix,-2.1057108517705263,-1.4102484048530168,0,0.08
2024,Justin Steele,CHC,Kitchen Sink/Finesse Mix,-1.8892228392445902,-0.6744568628572499,0,0.0
2024,Erick Fedde,TOT,Cutter/East-West Artist,0.04078203333926602,1.3196151841697015,0,0.0
2024,Jack Flaherty,TOT,Knuckle Curve Specialist,0.24907907074577526,5.481430013051967,0,0.0
2024,Mitch Keller,PIT,Cutter/East-West Artist,0.48506662373033754,-1.5274342944608046,0,0.0
2024,Nestor Cortes,NYY,Kitchen Sink/Finesse Mix,-0.8416853492703184,0.9956318715828943,0,0.0
2024,Logan Webb,SFG,Cutter/East-West Artist,0.19326376197897988,1.3400885532233973,0,0.09
2024,Triston McKenzie,CLE,North/South Power Starter,1.2907288648300328,-2.291122863235258,0,0.0
2024,Kenta Maeda,DET,Power Splitter/Forkballer,6.99778516952588,-2.04148887148396,0,0.0
2024,Dylan Cease,SDP,Knuckle Curve Specialist,0.08874920901080259,4.381510070130791,0,0.21
2024,Freddy Peralta,MIL,North/South Power Starter,-1.1808539635237163,-1.3767578589197065,0,0.0
